setting,phase,wd_sched,lambda0,budget_c,best_acc,diverged,exp,src
vgg16/cifar100,SGDM,fixed,0.0006,0.6237006237006242,72.95,0,e12_fixed,e12
vgg16/cifar100,SGDM,fixed,0.000962,1.0,73.43,0,e4,e11
vgg16/cifar100,SGDM,fixed,0.001,1.0395010395010393,73.02,0,e12_fixed,e12
vgg16/cifar100,SGDM,fixed,0.002,2.0790020790020787,72.39,0,e12_fixed,e12
vgg16/cifar100,SGDM,fixed,0.003,3.118503118503119,71.16,0,e12_fixed,e12
vgg16/cifar100,SGDM,fixed,0.005,5.1975051975052,67.5,0,e12_fixed,e12
vgg16/cifar100,SGDM,iso_product,0.0001936,0.34644928760395016,72.86,0,e12_matched,e12
vgg16/cifar100,SGDM,iso_product,0.0005809,1.0395268138901594,74.24,0,e12_matched,e12
vgg16/cifar100,SGDM,iso_product,0.0008713,1.5592007452960885,73.68,0,e12_matched,e12
vgg16/cifar100,SGDM,iso_product,0.001162,2.0794115299369382,72.35,0,e12_matched,e12
vgg16/cifar100,SGDM,iso_product,0.001452,2.5983696570296284,71.86,0,e12_matched,e12
vgg16/cifar100,SGDM,iso_product,0.001743,3.119117294905405,69.77,0,e12_matched,e12
vgg16/cifar100,SGDM,iso_product,0.002324,4.1588230598738765,66.57,0,e12_matched,e12
vgg16/cifar100,SGDM,linear,0.0004724,0.34649361687404834,72.24,0,e12_matched,e12
vgg16/cifar100,SGDM,linear,0.001417,1.0393341556107674,72.46,0,e12_matched,e12
vgg16/cifar100,SGDM,linear,0.002126,1.5593679709445945,72.16,0,e12_matched,e12
vgg16/cifar100,SGDM,linear,0.002834,2.0786683112215347,71.57,0,e12_matched,e12
vgg16/cifar100,SGDM,linear,0.003543,2.5987021265553616,71.4,0,e12_matched,e12
vgg16/cifar100,SGDM,linear,0.004252,3.118735941889189,70.06,0,e12_matched,e12
vgg16/cifar100,SGDM,linear,0.005669,4.158070097499956,68.02,0,e12_matched,e12
vgg16/cifar100,SGDM,linear_up,0.001132,0.3464214123175848,73.07,0,e12_matched,e12
vgg16/cifar100,SGDM,linear_up,0.003397,1.0395702629353663,73.84,0,e12_matched,e12
vgg16/cifar100,SGDM,linear_up,0.005095,1.5592023814117437,73.11,0,e12_matched,e12
vgg16/cifar100,SGDM,linear_up,0.006794,2.0791405258707325,72.47,0,e12_matched,e12
vgg16/cifar100,SGDM,linear_up,0.008492,2.598772644347111,71.79,0,e12_matched,e12
vgg16/cifar100,SGDM,linear_up,0.01019,3.1184047628234874,70.72,0,e12_matched,e12
vgg16/cifar100,SGDM,linear_up,0.01359,4.158893103706692,67.79,0,e12_matched,e12
